iter	Logloss
0	0.6921114854
1	0.6909897067
2	0.6900204751
3	0.6888344928
4	0.6879303565
5	0.6870130355
6	0.6861535487
7	0.6852547626
8	0.6844817085
9	0.6834854707
10	0.6826615251
11	0.6817992357
12	0.680987392
13	0.6802375863
14	0.6795260606
15	0.6788605857
16	0.6781193149
17	0.6773603372
18	0.676742378
19	0.6761769664
20	0.6754513007
21	0.6749216213
22	0.6742827068
23	0.6737923267
24	0.6733434751
25	0.6728925853
26	0.6723981925
27	0.6718253286
28	0.6713115728
29	0.6709266063
30	0.6703778188
31	0.6698882667
32	0.6695440006
33	0.669095786
34	0.6686598642
35	0.6682532417
36	0.6678998674
37	0.6675366205
38	0.6671217815
39	0.6666384715
40	0.6661982185
41	0.6658307042
42	0.6654145276
43	0.6650685418
44	0.6647278425
45	0.6644071433
46	0.6640536416
47	0.6637177831
48	0.6634137716
49	0.6631479129
50	0.6628136468
51	0.6625867687
52	0.6623435214
53	0.6620671531
54	0.6617859441
55	0.6615084293
56	0.6612048
57	0.6609265209
58	0.6606979869
59	0.6604534019
60	0.6603164598
61	0.6600921295
62	0.6598821941
63	0.6596320041
64	0.6594007949
65	0.6591723245
66	0.6589371026
67	0.6587650014
68	0.6585401616
69	0.6583392707
70	0.6581309276
71	0.6579540494
72	0.6577794004
73	0.6576516939
74	0.6575144971
75	0.6573666633
76	0.6571543075
77	0.6569725885
78	0.6568473661
79	0.6567009336
80	0.6565652654
81	0.6563432281
82	0.6561676874
83	0.6559999175
84	0.6558456506
85	0.6556755876
86	0.655569346
87	0.655440302
88	0.6552590288
89	0.6550690933
90	0.6549545715
91	0.6547804321
92	0.6546944452
93	0.654622471
94	0.6544940639
95	0.6543634912
96	0.6541947021
97	0.6540529193
98	0.6539473783
99	0.6538218374
100	0.6536811374
101	0.653499291
102	0.6533775718
103	0.6532609481
104	0.6531338149
105	0.6530641336
106	0.6529284654
107	0.6528212047
108	0.6527115236
109	0.6525708873
110	0.6524967475
111	0.6523920345
112	0.6522740732
113	0.6521401885
114	0.6520237558
115	0.6519710172
116	0.6518815908
117	0.6517533111
118	0.6516670694
119	0.6515558597
120	0.6514256692
121	0.651282294
122	0.6511870077
123	0.6510739509
124	0.6510256072
125	0.6509585374
126	0.6508625505
127	0.6507724235
128	0.6507180925
129	0.650636182
130	0.6505818511
131	0.6504655458
132	0.6503665653
133	0.6502418525
134	0.6501122989
135	0.6500096242
136	0.6499338283
137	0.6498553573
138	0.6497760583
139	0.6496926828
140	0.6495833839
141	0.6494754226
142	0.6493889898
143	0.6493417926
144	0.6492991176
145	0.6492273345
146	0.6491512838
147	0.649029692
148	0.6489234504
149	0.6488204572
150	0.6487325595
151	0.6486345981
152	0.6485743436
153	0.6485113502
154	0.6484396945
155	0.6483733253
156	0.6482745996
157	0.6481888038
158	0.6481253646
159	0.6480650464
160	0.6479967027
161	0.6479111616
162	0.6478372129
163	0.6477630731
164	0.6477216083
165	0.6476277233
166	0.647566386
167	0.647450654
168	0.6473911001
169	0.6473112279
170	0.6472377887
171	0.6471418018
172	0.6470759422
173	0.64698607
174	0.6469030767
175	0.646854096
176	0.6467628862
177	0.6467059438
178	0.6466546701
179	0.6466018041
180	0.64653397
181	0.6464339704
182	0.6463333339
183	0.6462674106
184	0.646214863
185	0.6461383029
186	0.6461007871
187	0.6459952461
188	0.6459194503
189	0.6458384952
190	0.6457752471
191	0.6457506612
192	0.6456839099
193	0.6456411075
194	0.645586458
195	0.6455280506
196	0.6454148664
197	0.6453779239
198	0.6453130834
199	0.6452207271
200	0.6451009824
201	0.6450491355
202	0.6449816198
203	0.6449395818
204	0.6448593273
205	0.644780092
206	0.6447362068
207	0.6447056337
208	0.6446161437
209	0.6445733413
210	0.6445286281
211	0.6444894563
