iter	Passed	Remaining
0	2	1018
1	4	1022
2	6	1025
3	8	1031
4	10	1018
5	12	1022
6	14	1021
7	16	1024
8	18	1026
9	20	1026
10	22	1029
11	24	1025
12	26	1023
13	28	1019
14	31	1017
15	33	1016
16	35	1015
17	37	1013
18	39	1010
19	41	1008
20	43	1003
21	45	1000
22	47	998
23	49	995
24	51	994
25	54	1009
26	56	1005
27	58	1004
28	60	1002
29	62	999
30	64	997
31	67	994
32	69	996
33	71	994
34	73	990
35	75	988
36	77	985
37	79	982
38	81	979
39	83	977
40	85	975
41	87	973
42	89	970
43	92	968
44	94	966
45	96	962
46	98	960
47	100	957
48	102	955
49	104	954
50	106	951
51	108	949
52	110	947
53	112	945
54	114	943
55	116	940
56	118	938
57	120	935
58	123	933
59	125	931
60	127	928
61	129	927
62	131	928
63	134	927
64	136	926
65	138	927
66	141	927
67	143	926
68	145	924
69	147	921
70	149	918
71	151	913
72	153	910
73	155	908
74	157	905
75	159	903
76	161	900
77	163	898
78	165	895
79	167	892
80	169	890
81	171	887
82	173	885
83	175	883
84	177	882
85	179	880
86	181	877
87	183	875
88	185	872
89	187	870
90	189	867
91	191	865
92	193	862
93	195	859
94	197	857
95	199	854
96	201	852
97	203	849
98	205	846
99	207	845
100	210	844
101	212	842
102	214	839
103	216	837
104	218	835
105	220	832
106	222	830
107	224	828
108	226	825
109	228	823
110	230	820
111	232	818
112	234	816
113	236	814
114	238	811
115	240	809
116	242	807
117	244	804
118	246	803
119	248	800
120	250	798
121	252	796
122	254	793
123	256	791
124	258	789
125	260	787
126	262	785
127	264	783
128	266	781
129	268	779
130	270	777
131	272	775
132	274	773
133	277	771
134	279	768
135	281	766
136	283	764
137	285	763
138	287	761
139	289	759
140	291	757
141	293	755
142	296	753
143	298	751
144	300	749
145	302	747
146	304	745
147	306	743
148	308	741
149	310	739
150	313	738
151	315	736
152	317	734
153	319	732
154	321	730
155	323	727
156	325	725
157	327	722
158	329	720
159	331	718
160	333	716
161	335	713
162	337	711
163	339	709
164	341	707
165	343	705
166	345	702
167	347	700
168	349	698
169	351	696
170	352	693
171	354	691
172	357	689
173	358	686
174	361	685
175	363	683
176	365	681
177	367	679
178	369	677
179	371	675
180	373	673
181	376	671
182	378	670
183	380	668
184	382	666
185	385	664
186	387	662
187	389	660
188	391	659
189	393	657
190	395	655
191	397	652
192	400	650
193	402	648
194	404	646
195	406	644
196	408	642
197	410	640
198	412	638
199	414	636
200	416	634
201	418	631
202	420	629
203	422	627
204	424	625
205	426	623
206	428	620
207	430	618
208	432	616
209	434	614
210	436	611
211	438	609
212	440	607
213	442	605
214	444	603
215	446	601
216	448	598
217	450	596
218	452	594
219	454	592
220	456	590
221	458	588
222	460	586
223	462	583
224	464	581
225	466	579
226	468	577
227	470	575
228	472	573
229	474	571
230	476	569
231	478	566
232	480	564
233	482	562
234	484	560
235	486	558
236	488	556
237	490	554
238	492	551
239	494	549
240	496	547
241	498	545
242	500	543
243	502	541
244	504	539
245	506	537
246	508	535
247	510	533
248	513	531
249	515	530
250	517	528
251	519	526
252	522	524
253	524	522
254	526	520
255	528	518
256	530	516
257	532	514
258	534	512
259	536	510
260	539	508
261	541	506
262	543	504
263	545	502
264	547	500
265	549	498
266	552	496
267	554	494
268	556	492
269	558	490
270	560	488
271	562	486
272	564	484
273	566	482
274	569	480
275	571	478
276	573	476
277	575	474
278	577	472
279	579	470
280	581	467
281	584	465
282	586	464
283	588	462
284	590	460
285	593	458
286	595	456
287	597	454
288	599	452
289	601	450
290	603	448
291	606	446
292	608	444
293	610	442
294	612	440
295	614	438
296	616	435
297	618	433
298	620	431
299	622	429
300	624	427
301	626	425
302	628	423
303	630	421
304	633	419
305	635	417
306	637	415
307	639	413
308	641	411
309	643	409
310	645	406
311	647	404
312	650	402
313	652	400
314	654	399
315	657	397
316	659	395
317	661	393
318	663	391
319	665	389
320	668	387
321	670	385
322	672	383
323	674	381
324	676	379
325	678	376
326	681	374
327	683	372
328	685	370
329	687	368
330	689	366
331	691	364
332	693	362
333	696	360
334	698	358
335	700	356
336	702	354
337	704	352
338	706	350
339	708	348
340	710	346
341	713	344
342	715	342
343	717	340
344	719	337
345	721	335
346	724	333
347	726	331
348	728	329
349	730	327
350	732	325
351	734	323
352	736	321
353	739	319
354	741	317
355	743	315
356	745	313
357	747	311
358	749	309
359	751	306
360	753	304
361	756	302
362	758	300
363	760	298
364	762	296
365	764	294
366	766	292
367	769	290
368	771	288
369	773	286
370	775	284
371	777	282
372	779	280
373	781	277
374	783	275
375	785	273
376	787	271
377	790	269
378	792	267
379	794	265
380	796	263
381	798	261
382	800	259
383	802	257
384	804	255
385	807	252
386	809	250
387	811	248
388	813	246
389	815	244
390	817	242
391	819	240
392	821	238
393	824	236
394	826	234
395	828	232
396	830	230
397	832	227
398	834	225
399	836	223
400	838	221
401	840	219
402	842	217
403	844	215
404	846	213
405	849	211
406	851	209
407	853	207
408	855	205
409	857	202
410	859	200
411	861	198
412	864	196
413	866	194
414	868	192
415	870	190
416	872	188
417	874	186
418	876	184
419	878	181
420	880	179
421	882	177
422	884	175
423	886	173
424	888	171
425	890	169
426	892	167
427	894	165
428	896	163
429	898	160
430	900	158
431	902	156
432	904	154
433	906	152
434	908	150
435	910	148
436	912	146
437	914	144
438	916	141
439	918	139
440	920	137
441	922	135
442	925	133
443	927	131
444	929	129
445	931	127
446	933	125
447	935	123
448	937	121
449	939	119
450	942	116
451	944	114
452	946	112
453	948	110
454	950	108
455	952	106
456	954	104
457	956	102
458	958	100
459	960	98
460	962	96
461	964	93
462	967	91
463	969	89
464	971	87
465	973	85
466	975	83
467	977	81
468	979	79
469	981	77
470	983	75
471	985	73
472	987	71
473	989	68
474	991	66
475	993	64
476	995	62
477	997	60
478	999	58
479	1001	56
480	1003	54
481	1005	52
482	1007	50
483	1009	47
484	1011	45
485	1013	43
486	1015	41
487	1017	39
488	1019	37
489	1021	35
490	1023	33
491	1025	31
492	1027	29
493	1029	27
494	1031	25
495	1033	22
496	1035	20
497	1037	18
498	1040	16
499	1042	14
500	1044	12
501	1046	10
502	1048	8
503	1050	6
504	1052	4
505	1054	2
506	1056	0
