Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance
28,34847.84,3037.986666666666,2,4,6,1,3,1,5.42,5.0,Good,605.03,25.92682170377555,273,No,18.816214573128885,39.684018417945296,High_spent_Large_value_payments,485.2984336755923
28,34847.84,3037.986666666666,2,4,6,1,3,3,5.42,5.0,Good,605.03,30.11660045002501,274,No,18.816214573128885,251.6273687501761,Low_spent_Large_value_payments,303.3550833433617
55,30689.89,2612.4908333333333,2,5,4,1,5,6,1.99,4.0,Good,632.46,36.82446782218685,181,No,16.415451659824875,191.88624358002707,Low_spent_Medium_value_payments,332.9473880934814
55,4148862.0,2612.4908333333333,2,5,4,1,6,6,1.99,7.0,Good,632.46,35.5792649548332,182,No,16.415451659824875,233.93341714114607,Low_spent_Small_value_payments,300.90021453236227
45,31370.8,2825.233333333333,1,6,12,2,2,3,5.76,5.0,Good,421.43,33.85409635172327,272,No,46.61612907334207,109.4207625788528,High_spent_Medium_value_payments,376.4864416811384
36,54392.16,4766.68,6,4,14,3,10,8,5.54,7.0,Standard,179.22,33.50246118473791,276,Yes,124.39208242092045,329.5529933931268,Low_spent_Large_value_payments,292.7229241859528
36,54392.16,4766.68,6,4,14,3,10,10,5.54,7.0,Standard,179.22,34.02279546061346,277,Yes,124.39208242092045,145.33057894012762,Low_spent_Medium_value_payments,486.945338638952
39,8701.545,519.12875,6,5,32,7,23,10,8.86,9.0,Standard,2602.69,25.380714318086728,98,Yes,36.54819717138717,37.64645856078626,Low_spent_Small_value_payments,267.71821926782656
37,25546.26,2415.855,8,7,14,5,16,15,1.83,7.0,Standard,758.44,38.485249511178864,191,Yes,101.3286373638512,141.04976298055809,Low_spent_Medium_value_payments,279.2070996555907
31,31993.78,2942.148333333333,6,6,7,2,8,14,6.28,1.0,Standard,818.22,27.64032332825704,179,Yes,45.14129822463578,86.03296639485399,Low_spent_Large_value_payments,433.0405687138437
42,10183.015,1074.5845833333333,7,5,17,5,48,21,7.97,8.0,Bad,1672.43,33.72430069146658,110,Yes,37.58807283812568,66.98367928238576,Low_spent_Small_value_payments,292.8867062128219
48,20787.69,1999.3075,8,6,14,3,22,14,1.13,3.0,Standard,614.6,38.95299631544785,186,No,42.22199265643221,49.50353558666441,High_spent_Medium_value_payments,358.20522175690337
48,20787.69,1999.3075,8,6,14,3,22,15,1.13,3.0,Standard,614.6,26.54850967751556,188,No,42.22199265643221,257.6586730041918,Low_spent_Small_value_payments,190.050084339376
49,20787.69,1999.3075,8,6,14,3,22,14,1.13,5.0,Standard,614.6,35.33001552852757,189,No,42.22199265643221,106.328847397762,Low_spent_Small_value_payments,341.3799099458058
30,34290.12,2697.51,9,8,25,7,49,9,13.96,13.0,Standard,2686.81,38.94266783614944,144,Yes,185.1119825795006,167.28030215512513,Low_spent_Large_value_payments,187.3587152653744
33,43070.24,3622.186666666666,3,3,18,1,6,8,5.9700000000000015,8.0,Standard,1233.1,27.548973092343964,200,Yes,30.57608482316153,142.3748859905269,High_spent_Small_value_payments,449.2676958529782
33,43070.24,3622.186666666666,3,3,18,1,11,7,8.97,8.0,Standard,1233.1,31.553922400187425,201,Yes,30.57608482316153,28.187146041020004,High_spent_Large_value_payments,543.4554358024851
41,28572.39,2210.0325,6,3,15,3,25,12,4.89,2.0,Standard,400.07,31.909035592946104,312,Yes,69.60292048199007,139.64054008224986,High_spent_Small_value_payments,271.75978943576007
55,20186.02,1684.168333333333,1,5,1,2,5,6,6.83,4.0,Good,413.32,30.419567349784646,190,No,29.534583720496048,48.014654022904885,High_spent_Medium_value_payments,340.8675955899324
55,20186.02,1684.168333333333,1,5,1,2,5,5,6.83,4.0,Good,413.32,40.296580610984286,191,No,29.534583720496048,55.934633624194056,High_spent_Medium_value_payments,332.9476159886433
44,18627.64,1387.303333333333,7,7,19,6,31,23,5.07,7.0,Bad,1793.54,34.78982153993944,197,Yes,65.13948777561222,74.3042407099912,High_spent_Small_value_payments,259.2866048477299
22,12986.745,959.22875,4,3,10,2,27,17,11.8,7.0,Standard,1489.49,25.77541495147188,94,Yes,16.719300227776053,99.16492465658864,Low_spent_Medium_value_payments,260.0386501156353
22,12986.745,959.22875,4,3,10,2,30,16,11.8,7.0,Standard,1489.49,26.415502246528455,95,Yes,16.719300227776053,49.9102338322073,Low_spent_Small_value_payments,319.2933409400166
44,58317.0,4664.75,8,5,9,6,18,20,16.58,10.0,Standard,98.97,36.34203464170722,139,Yes,149.89719942100822,162.73642005944183,Low_spent_Medium_value_payments,433.84138051954994
37,42171.98,3764.331666666667,2,7,10,3,8,11,2.58,4.0,Good,556.91,28.76152739499421,222,No,102.7629131170904,304.8093010913887,Low_spent_Large_value_payments,238.8609524581876
37,42171.98,3764.331666666667,2,7,10,3,4,10,2.58,6.0,Good,556.91,36.578239192701815,224,No,102.7629131170904,214.14104649116825,Low_spent_Large_value_payments,329.529207058408
37,15566.02,1423.168333333333,8,5,32,4,12,20,3.24,9.0,Standard,1693.95,30.77530249613676,87,Yes,43.07051960231588,85.06097027152596,Low_spent_Small_value_payments,304.1853434594915
37,15566.02,1423.168333333333,8,5,32,4,17,20,9.24,9.0,Standard,1693.95,24.03584985300275,88,Yes,43.07051960231588,147.41818402641738,Low_spent_Small_value_payments,241.8281297046001
19,66567.32,5800.276666666668,5,7,5,2,7,15,5.67,2.0,Standard,233.79,26.47501157048493,250,No,100.18936089086122,107.65137008979312,High_spent_Medium_value_payments,622.1869356860124
19,66567.32,5800.276666666668,5,7,5,2,7,15,5.67,2.0,Standard,233.79,40.303827080568375,252,No,100.18936089086122,100.39587069098452,High_spent_Large_value_payments,619.442435084821
33,30788.44,2623.703333333333,7,9,31,6,50,21,20.73,9.0,Bad,3470.08,36.226656344628886,20,Yes,114.533020898938,296.1071984225468,Low_spent_Small_value_payments,141.7301140118485
33,30788.44,2623.703333333333,7,9,31,6,44,20,17.73,13.0,Bad,3470.08,33.491468635341825,21,Yes,114.533020898938,343.2481544688096,Low_spent_Small_value_payments,94.5891579655858
42,20574.47,1740.539166666667,6,3,14,4,6,10,14.74,11.0,Standard,749.95,39.73211698649768,117,Yes,49.348666321498655,65.93064944867074,Low_spent_Large_value_payments,328.7746008964973
42,20574.47,1740.539166666667,6,3,14,4,6,12,10.74,11.0,Standard,749.95,34.37783509597484,118,Yes,49.348666321498655,43.56526478885986,High_spent_Large_value_payments,321.13998555630815
31,87215.68,7489.973333333332,2,6,8,2,2,6,10.98,0.0,Good,680.77,26.45454790745145,217,No,121.68201673654264,579.8625969032331,Low_spent_Large_value_payments,317.4527196935575
39,95956.5,8279.375,8,4,11,2,28,10,12.94,7.0,Standard,1079.73,41.72201510339915,325,No,95.5216287821567,206.3335930448604,High_spent_Large_value_payments,766.0822781729829
39,95956.5,8279.375,8,4,11,2,23,10,7.939999999999999,7.0,Standard,1079.73,28.91782480697284,326,No,95.5216287821567,437.4900382996484,Low_spent_Medium_value_payments,574.9258329181949
26,49967.01,4091.9175,6,5,31,6,27,13,19.87,12.0,Standard,2253.95,29.132503896515377,176,Yes,156.00331166279182,450.92634217999466,Low_spent_Small_value_payments,92.26209615721348
26,49967.01,4091.9175,6,5,31,6,27,11,16.87,12.0,Standard,2253.95,26.041476458839284,177,Yes,156.00331166279182,120.77377718668968,Low_spent_Medium_value_payments,412.4146611505183
26,49967.01,4091.9175,6,5,31,6,27,12,19.87,12.0,Standard,2253.95,26.3161966456708,179,Yes,156.00331166279182,189.42998072111016,High_spent_Small_value_payments,323.75845761609787
37,17251.38,1654.615,6,3,7,7,8,18,15.06,10.0,Standard,2431.64,37.63832057733276,123,Yes,57.35116518894053,38.11306460513448,High_spent_Small_value_payments,329.99727020592496
