Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Payment_Behaviour,Monthly_Balance,normalized_dti,normalized_emi,normalized_delinquency,normalized_credit_history,normalized_savings,normalized_utilization,normalized_utilization_risk,normalized_inquiry_intensity,behavioral_risk_indicator,credit_mix_quality,normalized_savings_capacity_ratio,Default_Flag,Borrower_Tier,Repayment_Stress,Credit_Exposure
34847.84,3037.986666666666,2,4,6,1,3,1,5.42,5,Good,605.03,25.92682170377555,273,No,18.816214573128885,High_spent_Large_value_payments,485.2984336755923,0.0174,0.006192,0.5,1.0,0.159691,1.0,1.0,1.0,0,2,0.980744,0,Prime,0.003096,103.7072868151022
34847.84,3037.986666666666,2,4,6,1,3,3,5.42,5,Good,605.03,30.11660045002501,274,No,18.816214573128885,Low_spent_Large_value_payments,303.3550833433617,0.0174,0.006192,1.0,1.0,0.099821,1.0,1.0,1.0,0,2,0.910979,1,Prime,0.006192,120.46640180010004
30689.89,2612.4908333333333,2,5,4,1,5,6,1.99,4,Good,632.46,36.82446782218685,181,No,16.415451659824875,Low_spent_Medium_value_payments,332.9473880934814,0.0206,0.006281,1.0,1.0,0.127396,1.0,1.0,0.666667,0,2,0.920267,0,Near_Prime,0.006281,184.12233911093423
4148862.0,2612.4908333333333,2,5,4,1,6,6,1.99,7,Good,632.46,35.5792649548332,182,No,16.415451659824875,Low_spent_Small_value_payments,300.90021453236227,0.0002,0.006281,1.0,1.0,0.115133,1.0,1.0,1.0,0,2,0.904172,1,Near_Prime,0.006281,177.896324774166
31370.8,2825.233333333333,1,6,12,2,2,3,5.76,5,Good,421.43,33.85409635172327,272,No,46.61612907334207,High_spent_Medium_value_payments,376.4864416811384,0.0134,0.016494,1.0,1.0,0.133211,1.0,1.0,0.714286,0,2,0.94477,0,Prime,0.016494,203.12457811033963
54392.16,4766.68,6,4,14,3,10,8,5.54,7,Standard,179.22,33.50246118473791,276,Yes,124.39208242092045,Low_spent_Large_value_payments,292.7229241859528,0.0033,0.026091,1.0,1.0,0.061397,1.0,1.0,1.0,1,1,0.904767,1,Prime,0.026091,134.00984473895164
54392.16,4766.68,6,4,14,3,10,10,5.54,7,Standard,179.22,34.02279546061346,277,Yes,124.39208242092045,Low_spent_Medium_value_payments,486.945338638952,0.0033,0.026091,1.0,1.0,0.102135,1.0,1.0,1.0,1,1,0.943415,0,Prime,0.026091,136.09118184245384
8701.545,519.12875,6,5,32,7,23,10,8.86,9,Standard,2602.69,25.380714318086728,98,Yes,36.54819717138717,Low_spent_Small_value_payments,267.71821926782656,0.2991,0.070268,1.0,0.816667,0.514715,1.0,1.0,1.0,1,1,0.857079,1,Prime,0.070268,126.90357159043364
25546.26,2415.855,8,7,14,5,16,15,1.83,7,Standard,758.44,38.485249511178864,191,Yes,101.3286373638512,Low_spent_Medium_value_payments,279.2070996555907,0.0297,0.041926,1.0,1.0,0.115525,1.0,1.0,0.875,1,1,0.899672,0,Prime,0.041926,269.3967465782521
31993.78,2942.148333333333,6,6,7,2,8,14,6.28,1,Standard,818.22,27.64032332825704,179,Yes,45.14129822463578,Low_spent_Large_value_payments,433.0405687138437,0.0256,0.015338,1.0,1.0,0.147135,1.0,1.0,0.142857,1,1,0.955415,1,Near_Prime,0.015338,165.84193996954224
10183.015,1074.5845833333333,7,5,17,5,48,21,7.97,8,Bad,1672.43,33.72430069146658,110,Yes,37.58807283812568,Low_spent_Small_value_payments,292.8867062128219,0.1642,0.034947,1.0,0.916667,0.272305,1.0,1.0,1.0,1,0,0.902686,1,Near_Prime,0.034947,168.6215034573329
20787.69,1999.3075,8,6,14,3,22,14,1.13,3,Standard,614.6,38.95299631544785,186,No,42.22199265643221,High_spent_Medium_value_payments,358.20522175690337,0.0296,0.021108,1.0,1.0,0.179075,1.0,1.0,0.428571,0,1,0.954121,0,Near_Prime,0.021108,233.7179778926871
20787.69,1999.3075,8,6,14,3,22,15,1.13,3,Standard,614.6,26.54850967751556,188,No,42.22199265643221,Low_spent_Small_value_payments,190.050084339376,0.0296,0.021108,1.0,1.0,0.09501,1.0,1.0,0.428571,0,1,0.850008,0,Near_Prime,0.021108,159.29105806509335
