Customer_ID,County,Population_Density_Category,Annual_Income,Monthly_Inhand_Salary,Outstanding_Debt,Num_of_Loan,Total_EMI_per_month,Credit_Utilization_Ratio,Credit_History_Age,Num_of_Delayed_Payment,Monthly_Balance,Default_Flag
1,Bungoma,Medium,1386560.8793498776,55475.70079174566,0.0,7,8000.0,0.5054908899657183,82,3,27770.38984389211,1
2,Nandi,Very High,1058346.408440899,57634.4288767906,153632.23265956316,0,6345.003956053008,0.8009858557108541,212,2,24532.68168898097,1
3,Kitui,High,950377.2820497731,97376.3229571469,237457.23395603953,0,8000.0,0.5083299867100679,31,1,12957.594385366432,0
4,Homa Bay,High,1015707.518306667,81118.61820110954,294350.3331270895,2,8000.0,0.24567963132195786,192,2,19694.28877284133,1
5,Wajir,Very High,644220.4675970762,98075.70246268433,238160.2259810481,2,8000.0,0.6672997802033993,226,3,32406.46242635022,1
6,Murang'a,High,747557.8427775812,81392.25624640251,166335.58883935487,5,8000.0,0.8328191261935007,198,2,35166.997665846946,1
7,Bungoma,Medium,816302.7689296107,66818.84070474973,463713.189070764,3,8000.0,0.3606183468255145,166,1,10054.222945526753,0
8,Nyeri,Medium,997105.6259101885,75647.71721028275,418496.9293057857,1,8000.0,0.11395970597992407,39,1,21134.969759407417,0
9,Turkana,High,791311.9281854258,79021.97364985778,105140.22267094126,5,0.0,0.8733583737685678,65,3,41947.373300607054,0
10,Isiolo,Medium,774640.365932647,108204.16805431234,148924.3842467592,6,7947.01300932547,0.6639973835201626,129,1,16027.22198814241,1
11,Isiolo,Medium,633034.082824791,85545.3490156107,288296.11420741206,5,8000.0,0.9422952396544235,184,2,24455.388351652673,1
12,West Pokot,Very High,906280.2721378171,63848.273130116235,231722.561891368,7,8000.0,0.675089461956814,103,3,37400.67424875744,1
13,Bomet,Medium,941391.5482285974,72099.61316935894,0.0,4,8000.0,0.16179088782916384,69,4,27645.10257944581,0
14,Busia,Very High,1007130.8239367731,82091.9249965418,163724.7882971214,5,8000.0,0.4398301827718813,231,5,27704.53668656062,1
15,West Pokot,High,725995.9448620082,58679.016493186,337966.4242313778,5,8000.0,0.08857681334490514,154,1,15570.082809155016,0
16,Kilifi,Very High,992693.9379048633,74732.93339593448,263457.15712066885,1,5344.975398922148,0.3573448601199441,130,1,16871.268547295043,1
17,Kiambu,High,639931.4058224938,71927.80743649372,138265.31652295226,7,8000.0,0.7567639396642435,140,2,5923.539568843409,1
18,Kwale,High,845234.0513763565,82286.96910336694,182905.92941943373,3,8000.0,0.5500658485533492,198,0,31629.393087334094,0
19,West Pokot,High,975393.034021366,73517.84230950642,223209.6461173929,7,8000.0,0.46304690791011954,70,1,19620.81460330382,0
20,Migori,High,835321.9431548254,54028.767800826405,557287.1962503742,6,1812.574670949125,0.8130586018003602,197,1,16971.176670527162,0
21,Baringo,High,509538.88749619736,74317.91147304323,254345.9773179351,0,8000.0,0.20939353772399,151,3,26785.460270486332,1
22,Vihiga,Very High,539341.8514421254,86523.53331579549,163222.05445884017,6,8000.0,0.534761208942807,229,4,22250.782452124917,0
23,Kwale,High,955223.717001851,96678.02592664279,466371.38096345146,4,8000.0,0.6326442925816945,228,0,8840.03145983203,0
24,Murang'a,Medium,1044912.8391871112,89431.63670827838,319561.67716532596,5,8000.0,0.8831891915459539,194,5,17892.96831614762,0
25,Narok,Medium,984829.1971980138,51063.87954806937,153359.29522092425,7,8000.0,0.19729303401208936,133,1,35038.7680912643,1
26,Meru,High,1050935.5523094581,54955.723022426806,252320.13378061997,7,8000.0,0.6860183890740151,215,3,16048.032520958819,1
27,Kiambu,Medium,829864.3785325544,59141.35781099622,227009.87310051927,7,8000.0,0.09123932639798063,21,2,16662.770536865875,0
28,Migori,Very High,1084610.4777283121,97584.05570518688,315833.8599274194,5,8000.0,0.5605361865554703,70,0,2697.5165925002802,0
29,Samburu,Very High,984015.0198722342,82424.81414433512,99108.83555319346,0,8000.0,0.6304896809292411,194,0,21184.41527157126,1
